plotID,foliage_Mg_ha,foliage_Mg_ha_live,foliage_Mg_ha_dead,branches_Mg_ha,branches_Mg_ha_live,branches_Mg_ha_dead,branch_1h_Mg_ha,branch_1h_Mg_ha_live,branch_1h_Mg_ha_dead,branch_10h_Mg_ha,branch_10h_Mg_ha_live,branch_10h_Mg_ha_dead,branch_100h_Mg_ha,branch_100h_Mg_ha_live,branch_100h_Mg_ha_dead,branch_1000h_Mg_ha_live,crown_Mg_ha,crown_Mg_ha_live,crown_Mg_ha_dead,acfl_Mg_ha,acfl_Mg_ha_live,acfl_Mg_ha_dead,cbd_kg_m3,cbh_m
bigh001,11.71,11.71,0,28.091,21.951,6.14,6.189,5.099,1.09,13.044,9.632,3.413,8.606,6.969,1.637,0.251,39.801,33.661,6.14,15.35,14.26,1.09,0.078,18.5
bigh002,18.231,18.231,0,46.182,35.397,10.785,9.746,7.875,1.872,23.145,16.551,6.594,12.695,10.375,2.32,0.596,64.413,53.628,10.785,24.04,22.168,1.872,0.183,19.25
bigh003,15.015,15.015,0,41.549,32.908,8.641,7.681,6.332,1.35,18.723,13.785,4.938,13.519,11.165,2.354,1.626,56.564,47.923,8.641,19.53,18.18,1.35,0.107,19.5
bigh004,15.811,15.811,0,44.64,34.306,10.334,7.529,6.016,1.513,19.882,14.47,5.412,16.083,12.674,3.409,1.147,60.451,50.117,10.334,20.332,18.819,1.513,0.118,19.25
bigh005,0,0,0,10.985,0,10.985,2.562,0,2.562,6.543,0,6.543,1.881,0,1.881,0,10.985,0,10.985,2.562,0,2.562,0.016,NA
bigh006,0,0,0,24.443,0,24.443,3.786,0,3.786,12.937,0,12.937,7.72,0,7.72,0,24.443,0,24.443,3.786,0,3.786,0.018,NA
bigh007,11.795,11.795,0,31.97,24.84,7.13,5.462,4.279,1.184,16.599,12.271,4.328,9.643,8.024,1.619,0.266,43.765,36.635,7.13,15.118,13.934,1.184,0.091,18.75
bigh008,11.281,11.009,0.272,31.505,21.795,9.71,6.391,4.524,1.867,14.319,8.847,5.472,10.45,8.079,2.371,0.345,42.786,32.804,9.982,15.41,13.271,2.139,0.088,21
bigh009,0,0,0,37.487,0,37.487,10.664,0,10.664,15.667,0,15.667,11.157,0,11.157,0,37.487,0,37.487,10.664,0,10.664,0.202,1.25
bigh010,0,0,0,31.549,0,31.549,5.967,0,5.967,16.409,0,16.409,9.173,0,9.173,0,31.549,0,31.549,5.967,0,5.967,0.024,NA
bigh011,50.872,50.872,0,127.331,96.35,30.981,14.603,14.034,0.569,34.744,22.226,12.518,77.984,60.09,17.894,0,178.203,147.222,30.981,58.457,57.889,0.569,0.386,1.25
bigh012,25.905,25.203,0.702,92.535,62.425,30.11,8.369,5.808,2.561,27.655,14.319,13.336,56.449,42.237,14.212,0.062,118.441,87.628,30.813,31.371,28.107,3.264,0.11,1.75
bigh013,39.288,39.288,0,90.051,68.557,21.494,13.223,12.168,1.056,29.054,18.893,10.161,47.66,37.382,10.278,0.114,129.339,107.845,21.494,46.427,45.372,1.056,0.315,1.25
bigh014,11.705,11.705,0,25.318,18.802,6.517,7.042,5.648,1.394,13.645,9.17,4.475,4.583,3.935,0.648,0.049,37.023,30.507,6.517,15.923,14.529,1.394,0.14,1.25
bigh015,0,0,0,8.379,0,8.379,2.189,0,2.189,5.966,0,5.966,0.224,0,0.224,0,8.379,0,8.379,2.189,0,2.189,0.021,NA
bigh016,0,0,0,10.581,0,10.581,3.449,0,3.449,6.653,0,6.653,0.479,0,0.479,0,10.581,0,10.581,3.449,0,3.449,0.038,NA
bigh017,0,0,0,27.692,0,27.692,5.482,0,5.482,16.996,0,16.996,5.214,0,5.214,0,27.692,0,27.692,5.482,0,5.482,0.024,NA
bigh018,0.393,0.374,0.02,35.367,0.945,34.423,2.503,0.108,2.395,15.52,0.183,15.337,17.283,0.592,16.691,0.062,35.761,1.318,34.442,2.842,0.427,2.415,0.011,NA
bigh019,0,0,0,53.783,0,53.783,4.546,0,4.546,32.43,0,32.43,16.807,0,16.807,0,53.783,0,53.783,4.546,0,4.546,0.024,NA
bigh020,0,0,0,42.527,0,42.527,2.589,0,2.589,20.551,0,20.551,19.387,0,19.387,0,42.527,0,42.527,2.589,0,2.589,0.017,NA
bigh021,0,0,0,36.648,0,36.648,4.225,0,4.225,23.256,0,23.256,9.166,0,9.166,0,36.648,0,36.648,4.225,0,4.225,0.032,NA
bigh022,0,0,0,22.057,0,22.057,4.12,0,4.12,13.193,0,13.193,4.744,0,4.744,0,22.057,0,22.057,4.12,0,4.12,0.021,NA
bigh023,18.698,16.434,2.264,48.432,27.195,21.237,15.162,7.519,7.643,21.67,11.196,10.473,11.537,8.416,3.121,0.064,67.13,43.629,23.501,30.1,20.194,9.907,0.273,1.25
bigh024,13.411,12.678,0.733,52.035,28.923,23.112,11.335,6.009,5.327,24.67,11.117,13.553,15.79,11.557,4.233,0.24,65.445,41.6,23.845,21.742,15.682,6.059,0.109,1.25
bigh025,31.452,31.452,0,64.376,43.331,21.045,13.227,10.733,2.494,29.857,17.144,12.713,21.292,15.454,5.838,0,95.828,74.783,21.045,39.313,36.819,2.494,0.24,4.75
bigh026,20.893,20.893,0,44.001,39.49,4.511,8.801,7.907,0.893,15.693,13.365,2.328,19.315,18.025,1.29,0.192,64.895,60.383,4.511,25.74,24.847,0.893,0.087,1.5
eagl011,0,0,0,20.153,0,20.153,2.906,0,2.906,7.575,0,7.575,9.671,0,9.671,0,20.153,0,20.153,2.906,0,2.906,0.013,NA
eagl014,0,0,0,34.928,0,34.928,4.986,0,4.986,14.898,0,14.898,15.045,0,15.045,0,34.928,0,34.928,4.986,0,4.986,0.025,NA
eagl015,0,0,0,24.696,0,24.696,3.2,0,3.2,11.752,0,11.752,9.744,0,9.744,0,24.696,0,24.696,3.2,0,3.2,0.013,NA
lion006,0,0,0,9.467,0,9.467,2.661,0,2.661,6.366,0,6.366,0.439,0,0.439,0,9.467,0,9.467,2.661,0,2.661,0.023,NA
lion008,0,0,0,17.904,0,17.904,5.552,0,5.552,11.759,0,11.759,0.593,0,0.593,0,17.904,0,17.904,5.552,0,5.552,0.038,NA
lion012,0,0,0,8.518,0,8.518,1.809,0,1.809,5.47,0,5.47,1.239,0,1.239,0,8.518,0,8.518,1.809,0,1.809,0.014,NA
lion026,9.444,9.444,0,24.43,18.431,5.999,5.553,4.534,1.019,12.285,8.601,3.684,6.578,5.281,1.296,0.014,33.875,27.875,5.999,12.73,11.711,1.019,0.068,1.25
nor001,40.794,39.123,1.671,107.228,89.338,17.89,13.912,11.096,2.816,30.808,23.187,7.62,60.903,53.449,7.453,1.606,148.022,128.462,19.56,49.158,44.671,4.487,0.136,1.25
nor002,34.102,34.043,0.06,95.401,75.395,20.006,12.249,9.369,2.88,29.793,19.015,10.778,52.062,45.714,6.348,1.297,129.503,109.437,20.065,41.667,38.727,2.939,0.162,11.25
nor003,0,0,0,54.822,0,54.822,2.507,0,2.507,29.522,0,29.522,22.793,0,22.793,0,54.822,0,54.822,2.507,0,2.507,0.011,NA
nor004,35.983,35.932,0.051,82.621,70.111,12.51,13.555,11.073,2.482,28.295,22.047,6.247,40.597,36.817,3.78,0.174,118.605,106.043,12.561,44.002,41.469,2.534,0.204,1.25
nor005,0,0,0,53.817,0,53.817,3.603,0,3.603,32.538,0,32.538,17.676,0,17.676,0,53.817,0,53.817,3.603,0,3.603,0.022,NA
nor006,0,0,0,61.088,0,61.088,4.69,0,4.69,37.445,0,37.445,18.954,0,18.954,0,61.088,0,61.088,4.69,0,4.69,0.029,NA
nor007,0,0,0,44.958,0,44.958,3.492,0,3.492,27.566,0,27.566,13.9,0,13.9,0,44.958,0,44.958,3.492,0,3.492,0.024,NA
nor008,44.052,43.531,0.521,116.768,100.989,15.779,14.754,12.171,2.583,38.243,30.396,7.847,63.281,57.932,5.349,0.49,160.819,144.52,16.3,52.72,49.616,3.104,0.219,1.25
nor009,43.557,43.121,0.436,108.347,99.453,8.894,12.667,11.229,1.438,30.714,27.141,3.573,64.382,60.499,3.883,0.584,151.904,142.574,9.33,50.61,48.736,1.874,0.204,13.25
nor011,32.241,32.114,0.127,79.883,68.643,11.24,15.18,12.539,2.64,27.741,23.035,4.706,36.12,32.226,3.894,0.842,112.124,100.757,11.367,41.151,38.384,2.767,0.204,1.25
nor012,37.135,35.664,1.471,87.953,71.805,16.148,11.794,10.23,1.564,31.338,22.345,8.993,44.37,38.779,5.591,0.451,125.088,107.469,17.619,43.814,40.779,3.035,0.194,13.75
nor013,35.468,35.062,0.405,93.084,73.064,20.02,14.198,10.532,3.666,31.019,21.242,9.777,46.885,40.307,6.577,0.982,128.552,108.126,20.426,44.4,40.328,4.071,0.195,2.25
nor014,2.179,1.325,0.855,50.016,4.739,45.278,6.978,0.541,6.437,22.495,0.925,21.57,20.261,2.991,17.27,0.282,52.196,6.063,46.132,8.887,1.595,7.292,0.097,1.25
nor015,52.858,51.986,0.871,138.737,121.218,17.519,16.298,13.431,2.868,40.273,32.426,7.847,81.61,74.806,6.804,0.555,191.594,173.204,18.39,62.441,58.702,3.739,0.229,1.25
nor016,1.465,1.254,0.21,36.068,3.432,32.636,4.517,0.403,4.114,15.845,0.704,15.141,15.504,2.123,13.381,0.202,37.533,4.686,32.846,5.78,1.456,4.324,0.022,NA
nor018,0,0,0,39.121,0,39.121,3.468,0,3.468,17.638,0,17.638,18.015,0,18.015,0,39.121,0,39.121,3.468,0,3.468,0.03,NA
nor020,0,0,0,16.806,0,16.806,9.956,0,9.956,6.756,0,6.756,0.094,0,0.094,0,16.806,0,16.806,9.956,0,9.956,0.166,1.25
nor021,0,0,0,8.755,0,8.755,4.483,0,4.483,4.272,0,4.272,0,0,0,0,8.755,0,8.755,4.483,0,4.483,0.09,1.25
nor022,0,0,0,22.112,0,22.112,5.822,0,5.822,14.782,0,14.782,1.508,0,1.508,0,22.112,0,22.112,5.822,0,5.822,0.053,1.25
nor023,25.897,24.51,1.388,73.041,54.692,18.349,10.386,7.852,2.534,25.998,16.415,9.583,35.751,29.519,6.232,0.907,98.938,79.202,19.737,32.357,28.435,3.922,0.132,6
nor026,1.355,1.355,0,53.382,2.72,50.662,9.598,0.536,9.062,32.516,1.008,31.508,11.203,1.111,10.092,0.064,54.737,4.075,50.662,10.686,1.623,9.062,0.058,18.25
nor027,0,0,0,45.827,0,45.827,8.48,0,8.48,28.348,0,28.348,8.999,0,8.999,0,45.827,0,45.827,8.48,0,8.48,0.043,20
nor028,0,0,0,39.756,0,39.756,9.374,0,9.374,25.017,0,25.017,5.365,0,5.365,0,39.756,0,39.756,9.374,0,9.374,0.055,15
nor029,25.396,25.275,0.122,66.499,45.816,20.683,17.105,11.211,5.894,30.399,17.854,12.545,18.794,16.551,2.243,0.2,91.895,71.091,20.805,36.896,30.88,6.016,0.232,5
nor031,0,0,0,46.793,0,46.793,5.197,0,5.197,20.145,0,20.145,21.451,0,21.451,0,46.793,0,46.793,5.197,0,5.197,0.023,NA
nor032,24.986,24.56,0.425,71.068,51.865,19.203,15.462,8.752,6.71,21.755,15.463,6.293,32.801,26.601,6.201,1.049,96.053,76.425,19.628,36.071,28.936,7.135,0.136,1.25
nor033,0,0,0,59.841,0,59.841,6.341,0,6.341,19.848,0,19.848,33.652,0,33.652,0,59.841,0,59.841,6.341,0,6.341,0.035,NA
nor035,39.424,39.322,0.102,108.315,93.557,14.758,15.389,11.256,4.133,29.731,24.738,4.993,61.934,56.301,5.632,1.261,147.739,132.878,14.861,49.185,44.95,4.235,0.144,1.25
nor036,35.933,34.022,1.911,108.184,70.044,38.14,12.731,9.09,3.641,36.882,17.917,18.965,58.017,42.483,15.534,0.554,144.117,104.066,40.051,44.119,38.567,5.552,0.166,1.25
nor037,0.203,0.101,0.101,66.122,0.754,65.368,5.27,0.086,5.184,28.625,0.146,28.479,32.177,0.472,31.705,0.05,66.325,0.855,65.469,5.43,0.144,5.285,0.036,NA
nor038,0,0,0,93.446,0,93.446,8.655,0,8.655,33.595,0,33.595,51.197,0,51.197,0,93.446,0,93.446,8.655,0,8.655,0.038,NA
nor039,0,0,0,26.16,0,26.16,4.025,0,4.025,11.216,0,11.216,10.919,0,10.919,0,26.16,0,26.16,4.025,0,4.025,0.016,NA
nor040,31.199,30.751,0.448,80.352,63.491,16.861,14.549,10.506,4.044,28.031,20.952,7.079,36.789,31.052,5.738,0.982,111.551,94.242,17.308,40.495,36.004,4.491,0.189,1.5
nor041,31.034,30.897,0.137,83.097,64.607,18.49,14.982,10.268,4.715,28.082,20.872,7.209,38.43,31.864,6.566,1.603,114.131,95.504,18.627,40.882,36.031,4.852,0.162,5.25
nor042,17.087,15.259,1.829,56.355,32.234,24.121,10.329,6.363,3.966,26.993,12.659,14.334,18.402,12.582,5.821,0.631,73.442,47.493,25.949,24.235,18.44,5.795,0.144,18
nor043,0,0,0,55.724,0,55.724,3.57,0,3.57,29.586,0,29.586,22.568,0,22.568,0,55.724,0,55.724,3.57,0,3.57,0.013,NA
nor063,50.715,50.715,0,117.938,107.119,10.819,13.625,12.841,0.784,32.674,28.83,3.844,70.896,64.706,6.19,0.742,168.653,157.834,10.819,57.92,57.135,0.784,0.17,4
nor064,64.549,64.549,0,153.951,142.924,11.027,19.023,17.997,1.027,46.697,41.666,5.03,86.974,82.004,4.97,1.257,218.5,207.473,11.027,74.574,73.547,1.027,0.214,6
nor065,43.94,43.94,0,92.416,86.035,6.381,13.994,13.45,0.544,29.408,26.204,3.204,48.804,46.171,2.633,0.21,136.356,129.975,6.381,51.209,50.665,0.544,0.19,7
nor067,26.994,26.994,0,57.351,48.285,9.066,13.79,12.06,1.73,20.322,16.794,3.528,22.505,18.697,3.808,0.733,84.344,75.278,9.066,34.754,33.024,1.73,0.283,1.25
nor069,23.537,23.537,0,32.14,26.451,5.69,13.206,11.442,1.764,15.804,12.088,3.716,3.13,2.921,0.21,0,55.678,49.988,5.69,31.022,29.258,1.764,0.476,1.25
nor076,55.305,55.305,0,145.401,86.735,58.666,19.712,17.084,2.628,43.839,20.783,23.056,81.85,48.868,32.982,0,200.706,142.04,58.666,66.475,63.847,2.628,0.474,1.25
nor101,40.708,40.708,0,86.662,80.736,5.926,12.152,11.352,0.8,25.217,22.839,2.379,48.953,46.206,2.747,0.34,127.37,121.444,5.926,47.184,46.384,0.8,0.146,1.25
nor110,17.249,17.249,0,32.153,25.177,6.976,11.895,9.7,2.194,16.153,11.64,4.514,4.105,3.837,0.268,0,49.402,42.426,6.976,24.294,22.099,2.194,0.268,1.25
nor111,12.304,12.304,0,24.689,18.674,6.015,9.235,7.319,1.916,12.924,8.948,3.976,2.53,2.407,0.123,0,36.992,30.978,6.015,17.879,15.963,1.916,0.218,1.25
nor114,9.745,9.745,0,19.944,15.458,4.486,7.133,5.696,1.437,10.062,7.282,2.78,2.748,2.48,0.268,0,29.688,25.203,4.486,14.03,12.593,1.437,0.172,1.25
nor115,65.884,65.884,0,147.396,140.699,6.697,19.603,19.236,0.367,44.423,40.337,4.086,83.337,81.094,2.244,0.033,213.28,206.583,6.697,75.869,75.502,0.367,0.31,1.25
nor117,53.137,53.137,0,140.04,87.162,52.878,16.192,15.041,1.15,42.378,21.317,21.061,81.47,50.803,30.667,0,193.176,140.298,52.878,61.808,60.657,1.15,0.197,1.25
nor119,45.205,45.205,0,94.501,69.455,25.046,15.981,15.253,0.728,30.578,19.549,11.029,47.942,34.653,13.289,0,139.706,114.66,25.046,53.559,52.831,0.728,0.603,1.25
nor125,51.074,51.074,0,119.317,89.88,29.437,15.785,14.344,1.441,37.329,23.971,13.358,66.203,51.566,14.638,0,170.391,140.954,29.437,59.687,58.246,1.441,0.231,1.25
nor126,20.695,20.695,0,46.774,41.584,5.19,8.229,7.397,0.832,16.202,13.709,2.493,21.89,20.026,1.864,0.453,67.47,62.28,5.19,25.226,24.394,0.832,0.079,1.25
nor127,33.028,33.028,0,65.568,53.699,11.868,17.356,13.746,3.609,28.554,22.205,6.349,19.493,17.583,1.91,0.165,98.596,86.727,11.868,43.51,39.901,3.609,0.22,1.25
nor128,28.858,28.858,0,57.541,46.331,11.21,14.816,11.897,2.919,24.838,18.813,6.026,17.65,15.384,2.265,0.237,86.399,75.189,11.21,37.726,34.807,2.919,0.149,1.25
nor129,33.798,33.798,0,68.108,56.498,11.61,16.451,13.43,3.021,28.752,22.462,6.29,22.62,20.32,2.3,0.285,101.906,90.296,11.61,43.533,40.513,3.021,0.202,1.25
nor130,38.494,38.494,0,72.541,62.19,10.352,20.095,16.738,3.357,30.813,24.922,5.891,21.575,20.471,1.104,0.059,111.035,100.684,10.352,50.22,46.863,3.357,0.283,1.25
rivr001,28.535,28.177,0.358,90.716,78.801,11.914,10.908,7.951,2.957,27.717,23.546,4.17,49.524,44.737,4.787,2.568,119.251,106.979,12.272,35.468,32.153,3.315,0.077,1.25
rivr002,0,0,0,42.22,0,42.22,5.567,0,5.567,18.262,0,18.262,18.392,0,18.392,0,42.22,0,42.22,5.567,0,5.567,0.024,NA
rivr003,0.131,0.131,0,6.446,0.158,6.288,1.896,0.096,1.8,4.521,0.062,4.459,0.03,0,0.03,0,6.577,0.289,6.288,1.979,0.179,1.8,0.021,NA
rivr004,0,0,0,33.562,0,33.562,7.853,0,7.853,21.995,0,21.995,3.713,0,3.713,0,33.562,0,33.562,7.853,0,7.853,0.063,1.25
rivr006,6.339,6.339,0,13.222,9.649,3.573,4.413,3.454,0.959,7.456,4.863,2.593,1.353,1.333,0.02,0,19.561,15.988,3.573,9.025,8.066,0.959,0.073,1.25
rivr007,10.95,10.95,0,27.898,19.677,8.221,7.991,5.126,2.865,13.312,9.02,4.292,6.41,5.346,1.063,0.185,38.847,30.627,8.221,16.378,13.513,2.865,0.076,1.25
rivr008,28.783,28.783,0,67.48,56.726,10.754,12.437,10.909,1.528,23.401,18.948,4.453,30.487,25.714,4.773,1.156,96.263,85.51,10.754,35.766,34.238,1.528,0.155,1.25
